Profession,Country,Region,Education,Sex,Age,AgeBin,Maritial,1.1_HeardCovid,1.2_Television/Radio,1.2_Newspaper/Magazines,1.2_SocialMedia,1.2_Colleagues/Workplace,1.2_Neighbors,1.3_CovidKnowledgeLevel,1.4_ContactRespiratoryDrop,1.4_Touching,1.4_UseSameObject,1.4_Sex,1.4_PersonToPerson,1.4_CloseContact,1.4_TouchingCoin,1.4_CovidFloatOnAir,1.5_Fever,1.5_Tiredness,1.5_Cough,1.5_ShortnessBreath,1.5_AchesPain,1.5_NasalCongestion,1.5_RunningNose,1.5_SoreThroat,1.5_Diarrhea,1.6_Mask,1.7_IncubationPeriod,1.8_Vaccine,1.9_LockDown,1.9_Isolation,1.9_Quarantine,1.10_Over60Yr,1.10_PrexistingCond,1.10_WorkEnvo,1.10_RiskZone,2.1_LockDown,2.2_HomeQuarantine,2.3_Isolation,2.4_PersonalHygiene,2.5_MediaRole,2.6_Over60Yr,2.6_PreExisting,2.6_Working,2.6_RiskZone,3.1_Quarantine,3.1_Respository,3.1_WashingHand,3.1_Mask,3.1_TouchingMouth,3.1_SocialDistance,3.2_PPE,3.3_Test,3.4_Handshake,3.4_Hug,3.4_VisitPlaces,3.4_ContactInfected,3.4_Religion,3.5_HandWash,3.8_Internet,3.9_Newspaper,3.9_TV,3.9_SocialMedia,3.9_Internet,3.10_TimeSpentOnCovidNews,4.1_FearOfDeath,4.1_Anxeity,4.1_Depression,4.1_SocialExclusion,4.1_Lonliness,N90BestToControlSpread,LearntCovid,KnowledgeScore,OpinionScoring,Susceptiblity,BehaveScore,PsychologicalHealth,Access_Of_Information
Medical Professionals,Spain,"Western Europe (United Kingdom, Finland, Germany,Italy, Netherlands, Ireland, Norway, Portugal, Spain)",,Male,42,"(41.0, 76.0]",1,1,1.0,1,1,1,1.0,,1,1,0,0,1,1,0.0,0.0,1,1,1,1,1,0,1,1,1,5,2-14 Day,0,1,1,1,1,0,1,1,5,4,4,4,3,0,0,1,1,1,1,1,1,1,1,3,3,0,1,1,1,0,12,1,0,0,1,1,2,0,1,0,0,0,0,5.0,15,20,2,9,1,2
Medical Professionals,United States,"North America (United States of America, Canada)",T,Male,30,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,0.0,0.0,1,1,1,1,1,0,0,1,1,5,2-14 Day,0,1,1,1,0,0,0,0,5,5,4,2,4,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,12,1,1,1,1,1,4,0,1,1,0,1,0,5.0,12,20,0,9,3,4
Medical Professionals,United States,"North America (United States of America, Canada)",T,Female,36,"(30.0, 41.0]",2,1,0.0,0,0,1,0.0,,1,1,1,1,1,1,0.0,0.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,1,1,1,1,1,0,1,1,3,5,5,4,4,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,12,1,0,0,0,1,4,0,0,0,0,0,0,1.0,18,21,4,10,0,1
Medical Professionals,United States,"North America (United States of America, Canada)",T,Male,24,"(21.0, 24.0]",1,1,0.0,0,1,1,0.0,,1,0,1,0,1,1,0.0,0.0,1,1,1,1,1,1,0,1,1,5,2-14 Day,0,0,1,1,0,1,1,1,5,5,5,5,4,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,12,1,0,0,1,1,4,1,1,0,0,1,0,2.0,15,24,2,7,3,2
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,29,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,0,0,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,0,5,5,5,5,4,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,12,0,1,1,1,1,4,1,1,1,1,1,0,5.0,18,24,1,11,5,4
Medical Professionals,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",T,Female,34,"(30.0, 41.0]",2,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,0,5,5,5,5,5,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,12,1,1,1,1,1,4,0,0,0,1,1,0,4.0,18,25,1,10,2,4
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,47,"(41.0, 76.0]",3,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,0,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,1,1,5,4,4,5,4,0,1,1,Not Sure,1,0,1,1,1,1,1,0,1,1,0,1,1,12,1,0,1,1,1,4,0,0,0,0,0,0,3.0,15,22,2,9,0,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,24,"(21.0, 24.0]",1,1,1.0,0,1,1,1.0,,1,1,1,0,1,1,0.0,1.0,1,1,1,1,1,1,1,0,0,5,Other,0,1,1,1,1,1,0,1,5,5,5,5,5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,12,1,0,1,1,1,4,1,1,1,1,1,0,4.0,16,25,3,10,5,3
Academian/Administration,United States,"North America (United States of America, Canada)",,Male,60,"(41.0, 76.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,Other,0,1,1,1,1,1,0,0,5,5,5,5,5,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,12,1,1,1,0,1,4,0,0,0,0,0,0,5.0,18,25,0,11,0,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,31,"(30.0, 41.0]",1,0,1.0,0,1,1,0.0,,0,0,0,0,0,1,1.0,1.0,1,1,1,1,1,1,0,1,0,3,2-14 Day,0,1,1,1,1,1,1,1,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,1,0,12,1,1,1,1,1,4,1,1,1,1,1,0,3.0,14,19,4,7,5,4
Academian/Administration,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,0,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,1,1,5,2-14 Day,0,1,1,1,0,0,0,0,5,4,4,5,5,0,0,0,0,1,1,1,1,1,1,1,3,1,1,1,1,1,13,1,1,1,1,1,1,1,0,0,1,1,0,3.0,16,23,0,11,3,4
Academian/Administration,Mexico,Central America and Mexico,T,Male,52,"(41.0, 76.0]",2,1,1.0,1,1,1,1.0,4,1,1,1,0,1,1,1.0,1.0,1,1,1,1,0,1,0,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,4,4,4,5,5,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,13,1,0,1,1,1,4,1,1,0,0,0,0,5.0,18,22,0,10,2,3
Academian/Administration,Mexico,Central America and Mexico,T,Male,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,1,1,1,2-14 Day,1,1,1,1,0,1,1,1,4,5,5,5,5,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,13,1,0,0,0,1,5,0,0,0,0,0,1,5.0,20,24,1,11,0,1
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Female,26,"(24.0, 30.0]",2,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,13,1,1,1,1,1,3,1,1,1,1,1,1,4.0,20,25,4,6,5,4
Academian/Administration,United States,"North America (United States of America, Canada)",,Male,29,"(24.0, 30.0]",2,1,1.0,0,1,0,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,0,0,5,5,5,5,5,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,13,1,0,1,1,1,4,1,1,1,0,1,1,2.0,20,25,0,10,4,3
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,22,"(21.0, 24.0]",1,1,1.0,1,1,0,0.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,0,1,1,1,1,5,2-14 Day,0,1,1,1,0,1,1,0,5,5,5,5,5,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,13,1,0,1,1,1,3,0,1,0,0,1,0,3.0,17,25,1,11,2,3
Academian/Administration,United States,"North America (United States of America, Canada)",,Male,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,0,1,5,2-14 Day,1,1,1,1,1,1,1,1,5,5,5,5,5,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,13,1,1,1,1,1,3,0,1,1,1,1,0,5.0,19,25,1,10,4,4
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",T,Female,30,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,5,4,5,5,4,0,Not Sure,0,Not Sure,0,1,1,1,1,1,0,0,0,1,1,1,1,14,1,1,1,1,1,1,1,0,0,1,1,0,5.0,21,23,0,9,3,4
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,0,1,1,0,1,0,0,2,5,5,5,5,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,14,1,0,1,1,0,4,0,0,0,0,1,0,5.0,18,22,3,10,1,2
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,18,"(8.999, 21.0]",1,1,1.0,0,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,0,1,1,1,1,0,1,0,1,2-14 Day,3,1,1,1,1,1,1,1,5,3,3,3,4,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,14,1,1,1,1,1,3,0,0,1,1,0,1,4.0,17,18,2,10,2,4
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,41,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,0,1,1,1,2-14 Day,0,1,1,1,0,0,0,1,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,14,1,1,1,1,0,3,0,0,0,0,0,1,5.0,18,21,0,4,0,3
Medical Professionals,United kingdom ,"Western Europe (United Kingdom, Finland, Germany,Italy, Netherlands, Ireland, Norway, Portugal, Spain)",,Male,59,"(41.0, 76.0]",2,1,1.0,1,0,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,0,0,0,0,4,5,5,5,4,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,14,1,0,1,0,0,3,0,0,0,0,0,1,3.0,17,23,0,11,0,1
Medical Professionals,Colombia,"South America (Argentina, Brazile, Chile, Venezuela, Colombia)",,Female,26,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,0,1,0,1,5,5,5,5,5,0,0,1,1,0,1,1,1,1,1,1,3,1,1,1,0,1,14,1,0,0,0,1,1,0,1,0,0,1,1,5.0,18,25,2,9,2,1
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Female,23,"(21.0, 24.0]",1,1,1.0,0,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,0,1,1,1,1,1,2-14 Day,0,1,1,1,0,0,0,0,5,5,5,5,4,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,14,1,0,1,1,0,1,0,0,0,1,1,1,4.0,15,24,2,9,2,2
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,32,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,0,1,1,1,2-14 Day,0,1,1,1,0,0,1,0,5,5,5,5,5,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,0,0,1,5.0,17,25,2,11,3,4
Academian/Administration,United States,"North America (United States of America, Canada)",T,Male,55,"(41.0, 76.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,4,5,5,5,4,1,1,1,1,1,0,1,0,1,1,1,3,1,1,0,1,1,14,1,1,1,0,0,2,0,0,0,1,1,1,5.0,22,23,4,8,2,2
Academian/Administration,United States,"North America (United States of America, Canada)",T,Male,55,"(41.0, 76.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,4,5,5,5,4,1,1,1,1,1,0,1,0,1,1,1,3,1,1,0,1,1,14,1,1,1,0,0,2,0,0,0,1,1,1,5.0,22,23,4,8,2,2
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,0,1,1,0,1,1,1,0,1,2-14 Day,0,1,1,1,0,0,0,0,5,5,5,5,5,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,14,1,0,1,1,1,2,0,1,0,1,0,1,5.0,13,25,0,9,2,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,26,"(24.0, 30.0]",1,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,0,1,1,0,5,5,5,5,4,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,14,1,1,1,1,1,2,0,1,0,0,1,1,4.0,16,24,1,11,2,4
Medical Professionals,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",,Female,40,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,5,5,4,5,5,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,14,1,1,1,1,1,2,1,1,0,1,1,1,5.0,21,24,2,11,4,4
Academian/Administration,Ghana,"West Africa( Ghana, Nigeria)",T,Female,22,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,0,5.0,21,25,4,11,5,4
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,0,5,4,5,5,5,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,14,1,1,1,1,1,3,1,1,0,0,1,0,5.0,18,24,0,10,3,4
Medical Professionals,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",,Female,37,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,0,0,1,1,1.0,1.0,1,1,1,1,0,0,0,1,1,5,2-14 Day,0,1,1,1,0,0,0,0,4,5,5,5,4,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,14,1,1,0,0,1,3,0,1,0,1,0,0,5.0,12,23,0,9,2,2
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,30,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,5,4,5,5,4,0,0,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,14,1,1,1,1,1,2,1,1,0,0,1,0,5.0,19,23,2,10,3,4
Others,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,0.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,1,1,4,5,4,5,5,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,14,1,0,1,1,1,2,1,1,1,1,1,0,5.0,17,23,4,9,5,3
Medical Professionals,United States,"North America (United States of America, Canada)",T,Female,30,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,0,1,1,5,2-14 Day,1,1,1,1,0,0,0,0,5,5,5,5,4,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,14,1,1,1,1,1,4,1,0,0,0,0,0,5.0,15,24,0,10,1,4
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,15,"(8.999, 21.0]",1,1,1.0,1,1,0,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,0,1,1,1,1,0,5,Other,3,1,1,1,0,0,0,0,5,5,4,5,5,,,,,1,0,1,1,0,0,3,0,1,1,1,1,0,15,1,0,0,1,1,5,0,0,0,0,0,0,4.0,14,24,0,7,0,2
Academian/Administration,United States,"North America (United States of America, Canada)",S,Female,18,"(8.999, 21.0]",1,1,1.0,1,1,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,0,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,0,1,0,0,5,5,5,5,5,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,15,1,0,1,1,1,3,1,1,1,1,1,0,4.0,17,25,1,9,5,3
Others,United States,"North America (United States of America, Canada)",T,Male,27,"(24.0, 30.0]",1,1,1.0,1,1,1,0.0,,1,1,0,0,1,1,0.0,1.0,1,1,1,1,1,1,0,1,0,5,2-14 Day,0,1,1,1,1,0,0,0,5,5,5,5,5,1,,,,1,0,1,1,1,1,0,0,1,1,1,1,1,15,1,1,0,1,1,3,0,1,0,0,1,0,4.0,13,25,1,10,2,3
Academian/Administration,Bosnia & Herzegowina,"Eastern Europe(Hungry, Macedonia, Bosina &Herzegovina)",,Male,38,"(30.0, 41.0]",2,1,1.0,1,1,0,0.0,,1,1,1,0,0,1,0.0,0.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,0,0,1,1,1,0,0,3,3,4,5,5,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,15,1,0,1,1,0,1,0,0,0,0,0,0,3.0,12,20,0,8,0,2
Medical Professionals,United States,"North America (United States of America, Canada)",T,Male,19,"(8.999, 21.0]",1,1,1.0,0,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,0,1,0,0,5,5,5,5,5,0,1,0,0,1,1,1,1,1,1,3,0,1,1,0,1,1,15,1,0,1,1,1,1,1,0,0,0,0,0,4.0,17,25,1,10,1,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,5,5,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,15,1,1,1,1,1,1,1,1,0,0,0,0,5.0,20,25,0,10,2,4
Academian/Administration,Mexico,Central America and Mexico,T,Female,27,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,1,1,5,5,4,5,5,0,0,0,1,1,1,1,1,1,1,1,3,1,1,0,0,1,15,1,0,0,1,1,2,1,1,1,1,1,0,5.0,16,24,1,9,5,2
Academian/Administration,Bosnia & Herzegowina,"Eastern Europe(Hungry, Macedonia, Bosina &Herzegovina)",S,Male,23,"(21.0, 24.0]",In a realtionship,1,1.0,1,1,1,1.0,,1,0,1,0,0,1,1.0,0.0,1,1,1,1,1,1,0,0,1,5,2-14 Day,3,1,1,1,1,0,1,0,2,4,4,4,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,15,1,1,1,1,1,2,0,0,1,1,1,0,5.0,13,15,0,11,3,4
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,39,"(30.0, 41.0]",2,1,1.0,1,0,0,0.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,3,1,0,1,1,1,0,0,3,3,4,5,3,Not Sure,0,1,Not Sure,1,1,1,1,1,1,3,0,1,1,1,1,1,15,1,1,1,0,0,2,0,1,0,0,0,0,2.0,17,18,1,11,1,2
Academian/Administration,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",T,Male,37,"(30.0, 41.0]",3,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,0,0,4,5,4,5,5,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,15,1,1,1,1,1,2,1,0,0,0,1,0,5.0,15,23,0,7,2,4
Academian/Administration,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,25,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,0,1.0,0.0,0,0,0,0,0,1,1,0,0,5,2-14 Day,0,1,1,1,0,0,0,0,5,5,5,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,15,1,0,1,1,1,2,0,0,0,0,0,0,5.0,7,21,0,4,0,3
Medical Professionals,Saudi Arabia,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,32,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,0.0,1.0,1,1,1,1,1,0,0,0,0,5,2-14 Day,0,1,1,1,0,0,1,0,2,4,5,5,5,0,0,1,0,1,1,1,1,1,1,1,3,1,1,1,1,1,15,1,1,1,1,1,2,0,0,0,0,0,0,5.0,12,21,1,11,0,4
Academian/Administration,Mexico,Central America and Mexico,T,Female,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,3,1,0,0,0,1,1,0.0,1.0,1,0,1,1,0,0,1,0,0,5,2-14 Day,0,1,1,1,1,1,1,0,5,5,5,5,5,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,15,1,1,0,1,1,4,1,1,1,1,1,0,5.0,11,25,2,7,5,3
Academian/Administration,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,36,"(30.0, 41.0]",2,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,0.0,1.0,1,1,1,1,1,0,1,1,1,5,Other,3,1,1,1,1,1,1,0,5,5,4,4,5,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,15,1,0,1,1,1,4,1,1,1,1,1,0,4.0,17,23,0,8,5,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,29,"(24.0, 30.0]",1,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,0,0,0,1,0,1,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,5,4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,15,1,1,1,1,1,4,0,0,0,0,0,1,4.0,16,24,2,10,0,4
Medical Professionals,Mexico,Central America and Mexico,S,Male,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,0,1,0,0,0,0,5,5,5,5,5,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,15,1,0,1,1,1,1,1,1,1,0,1,1,5.0,15,25,0,10,4,3
Medical Professionals,United Arab Emirates,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,36,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,1,0,1,0,3,5,5,5,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,15,1,0,0,1,1,4,0,0,0,0,0,1,5.0,19,19,1,10,0,2
Medical Professionals,Mexico,Central America and Mexico,S,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,0.0,1,1,0,1,1,1,1,1,0,1,2-14 Day,3,1,1,1,1,1,1,0,3,5,5,5,4,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,15,1,0,0,1,0,3,1,1,1,0,1,1,5.0,17,22,0,10,4,1
Medical Professionals,Mexico,Central America and Mexico,S,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,0.0,1,1,0,1,1,1,1,1,0,1,2-14 Day,3,1,1,1,1,1,1,0,3,5,5,5,4,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,15,1,0,0,1,0,3,1,1,1,0,1,1,5.0,17,22,0,10,4,1
Medical Professionals,Mexico,Central America and Mexico,S,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,0.0,1,1,0,1,1,1,1,1,0,1,2-14 Day,3,1,1,1,1,1,1,0,3,5,5,5,4,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,15,1,0,0,1,0,3,1,1,1,0,1,1,5.0,17,22,0,10,4,1
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,21,"(8.999, 21.0]",1,1,1.0,1,1,0,1.0,,1,1,1,0,1,1,0.0,0.0,1,1,1,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,0,0,0,0,5,4,4,5,5,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,15,1,0,1,1,0,3,0,1,1,0,0,1,4.0,14,23,0,11,2,2
